Eurex.Bund
Eurex.Bund
ora	high	low	open	close	volume
10032026 170000	127,35	127,17	127,33	127,26	110643
10032026 180000	127,47	127,22	127,25	127,31	78573
10032026 190000	127,32	126,96	127,30	127,08	47900
10032026 200000	127,08	126,92	127,07	126,98	19130
10032026 210000	127,10	126,90	126,98	126,97	10613
11032026 010000	127,12	127,02	127,07	127,03	2518
11032026 020000	127,18	126,98	127,03	127,14	4690
11032026 030000	127,19	127,13	127,15	127,16	1358
11032026 040000	127,19	127,16	127,16	127,18	671
11032026 050000	127,18	127,12	127,18	127,15	744
11032026 060000	127,20	127,06	127,15	127,09	1431
11032026 070000	127,10	127,03	127,08	127,08	4176
11032026 080000	127,15	126,73	127,07	126,88	126849
11032026 090000	126,91	126,66	126,87	126,67	151148
11032026 100000	126,68	126,55	126,67	126,57	146949
11032026 110000	126,74	126,56	126,57	126,71	198912
11032026 120000	126,82	126,62	126,72	126,64	147565
11032026 130000	126,67	126,38	126,64	126,47	172986
11032026 140000	126,57	126,41	126,47	126,55	188834
11032026 150000	126,68	126,39	126,55	126,41	206139
11032026 160000	126,44	126,28	126,42	126,31	152098
11032026 170000	126,38	126,26	126,30	126,29	177760
11032026 180000	126,30	126,16	126,29	126,27	50042
11032026 190000	126,34	126,26	126,26	126,28	25027
11032026 200000	126,28	126,21	126,28	126,22	10981
11032026 210000	126,22	126,12	126,22	126,16	11371
12032026 010000	126,09	125,91	126,01	126,07	6566
12032026 020000	126,14	126,03	126,06	126,11	3310
12032026 030000	126,12	125,92	126,11	125,98	3059
12032026 040000	125,99	125,93	125,99	125,97	2117
12032026 050000	125,99	125,93	125,97	125,93	2657
12032026 060000	126,06	125,93	125,93	125,96	3975
12032026 070000	126,13	125,94	125,96	126,09	10531
12032026 080000	126,29	126,02	126,08	126,25	107744
12032026 090000	126,38	126,18	126,26	126,18	155077
12032026 100000	126,42	126,18	126,18	126,31	151702
12032026 110000	126,39	126,20	126,30	126,34	144839
12032026 120000	126,42	126,28	126,34	126,29	99316
12032026 130000	126,29	126,14	126,29	126,18	117402
12032026 140000	126,22	125,99	126,18	126,19	186382
12032026 150000	126,33	126,13	126,20	126,21	162903
12032026 160000	126,23	126,06	126,21	126,21	204893
12032026 170000	126,21	126,01	126,21	126,05	171832
12032026 180000	126,12	125,96	126,05	125,98	46021
12032026 190000	126,00	125,82	125,97	125,82	23080
12032026 200000	125,93	125,78	125,83	125,87	19221
12032026 210000	125,89	125,82	125,87	125,88	6109
13032026 010000	125,99	125,93	125,95	125,96	1578
13032026 020000	126,04	125,95	125,95	125,96	2944
13032026 030000	125,98	125,93	125,97	125,95	729
13032026 040000	125,95	125,90	125,94	125,90	1071
13032026 050000	125,94	125,83	125,90	125,88	1186
13032026 060000	125,92	125,85	125,88	125,90	2133
13032026 070000	125,98	125,86	125,90	125,89	5717
13032026 080000	125,90	125,73	125,89	125,87	76529
13032026 090000	126,14	125,84	125,87	126,11	174427
13032026 100000	126,18	126,00	126,12	126,05	128969
13032026 110000	126,20	126,04	126,05	126,19	145371
13032026 120000	126,23	126,13	126,19	126,16	119474
13032026 130000	126,26	126,03	126,16	126,17	127830
13032026 140000	126,24	126,10	126,16	126,17	104701
13032026 150000	126,19	126,03	126,18	126,05	125260
13032026 160000	126,05	125,89	126,05	125,91	133963
13032026 170000	125,96	125,77	125,90	125,79	155217
13032026 180000	125,80	125,69	125,79	125,72	43955
13032026 190000	125,76	125,68	125,72	125,73	12307
13032026 200000	125,77	125,73	125,73	125,75	6617
13032026 210000	125,77	125,74	125,75	125,76	6292
16032026 010000	125,96	125,88	125,90	125,96	2467
16032026 020000	125,99	125,94	125,96	125,94	3451
16032026 030000	125,94	125,89	125,94	125,92	1846
16032026 040000	125,98	125,91	125,92	125,93	1021
16032026 050000	125,94	125,91	125,94	125,91	783
16032026 060000	125,92	125,86	125,92	125,90	1571
16032026 070000	125,93	125,87	125,90	125,91	7635
16032026 080000	125,95	125,82	125,91	125,95	44094
16032026 090000	125,99	125,86	125,95	125,93	90794
16032026 100000	126,02	125,88	125,93	125,98	75245
16032026 110000	126,04	125,96	125,98	126,01	106334
16032026 120000	126,13	125,98	126,01	126,13	74716
16032026 130000	126,22	126,10	126,12	126,16	86883
16032026 140000	126,38	126,16	126,17	126,37	103585
16032026 150000	126,42	126,27	126,36	126,31	144057
16032026 160000	126,32	126,20	126,30	126,22	110239
16032026 170000	126,23	126,08	126,23	126,10	105566
16032026 180000	126,21	126,10	126,11	126,21	38771
16032026 190000	126,31	126,20	126,21	126,30	17914
16032026 200000	126,30	126,25	126,29	126,26	10715
16032026 210000	126,30	126,24	126,25	126,29	3875
17032026 010000	126,27	126,20	126,26	126,21	884
17032026 020000	126,21	126,13	126,21	126,16	1026
17032026 030000	126,17	126,14	126,16	126,14	664
