Data	Open	High	Low	Close	Volume
2023-01-02 08:00:00	3795.1	3858.4	3793.1	3840.4	1509350
2023-01-02 11:40:00	3840.9	3854.4	3836.4	3842.4	560160
2023-01-02 15:20:00	3841.3	3865.4	3840.4	3852.2	825120
2023-01-03 08:00:00	3834.1	3922.3	3829.1	3906.3	4080760
2023-01-03 11:40:00	3905.4	3912.5	3875.3	3902.5	2528640
2023-01-03 15:20:00	3901.9	3913.4	3870.1	3876.1	4717440
2023-01-04 08:00:00	3895.6	3944.5	3891.0	3939.5	2586900
2023-01-04 11:40:00	3940.4	3972.4	3939.3	3967.3	1807200
2023-01-04 15:20:00	3966.3	3984.2	3949.4	3978.1	3666240
2023-01-05 08:00:00	3960.0	3965.1	3948.3	3964.3	2595930
2023-01-05 11:40:00	3963.4	3974.4	3952.4	3958.4	2707200
2023-01-05 15:20:00	3959.3	3976.4	3948.4	3962.1	3610080
2023-01-06 08:00:00	3981.1	3985.1	3950.4	3964.4	2076750
2023-01-06 11:40:00	3965.4	3997.4	3959.3	3979.4	3163680
2023-01-06 15:20:00	3978.3	4024.2	3969.3	4015.1	3487680
2023-01-09 08:00:00	4042.6	4044.2	4023.3	4029.4	2630720
2023-01-09 11:40:00	4028.4	4051.4	4026.4	4050.4	1221120
2023-01-09 15:20:00	4051.4	4080.3	4050.3	4066.0	2190240
2023-01-10 08:00:00	4041.0	4055.5	4040.0	4054.4	2175720
2023-01-10 11:40:00	4055.4	4055.4	4040.3	4052.4	1477440
2023-01-10 15:20:00	4051.3	4064.2	4048.4	4063.1	2900160
2023-01-11 08:00:00	4070.0	4095.4	4065.0	4091.5	1810660
2023-01-11 11:40:00	4090.3	4106.3	4088.3	4100.4	845280
2023-01-11 15:20:00	4101.5	4108.2	4090.3	4107.1	1471680
2023-01-12 08:00:00	4110.0	4127.5	4102.0	4118.4	1674790
2023-01-12 11:40:00	4117.4	4143.4	4099.9	4123.5	4040640
2023-01-12 15:20:00	4124.0	4141.2	4104.3	4137.1	3862080
2023-01-13 08:00:00	4133.0	4157.5	4129.3	4153.4	1820470
2023-01-13 11:40:00	4152.4	4153.4	4127.3	4133.4	1840320
2023-01-13 15:20:00	4132.3	4159.4	4131.4	4154.2	2115360
2023-01-16 08:00:00	4162.0	4162.0	4143.3	4146.9	1112040
2023-01-16 11:40:00	4147.4	4160.4	4146.3	4157.3	360000
2023-01-16 15:20:00	4156.4	4160.5	4151.0	4151.0	576000
2023-01-17 08:00:00	4145.1	4161.5	4140.3	4142.4	1701000
2023-01-17 11:40:00	4143.4	4159.5	4141.3	4158.4	1074240
2023-01-17 15:20:00	4159.3	4192.5	4158.3	4177.2	2286720
2023-01-18 08:00:00	4180.1	4186.5	4167.0	4174.4	1818360
2023-01-18 11:40:00	4173.4	4196.5	4173.4	4192.3	1455840
2023-01-18 15:20:00	4193.4	4194.5	4161.0	4162.2	2387520
2023-01-19 08:00:00	4145.1	4157.4	4112.3	4114.3	2262240
2023-01-19 11:40:00	4113.4	4124.4	4090.4	4101.3	2338560
2023-01-19 15:20:00	4102.4	4114.5	4092.0	4098.0	2620800
2023-01-20 08:00:00	4113.1	4122.1	4097.4	4118.3	1909800
2023-01-20 11:40:00	4117.3	4123.5	4105.3	4107.4	1082880
2023-01-20 15:20:00	4108.4	4119.2	4103.3	4114.1	1607040
2023-01-23 08:00:00	4133.1	4146.8	4121.3	4129.5	1898280
2023-01-23 11:40:00	4130.4	4142.4	4122.3	4127.3	1000800
2023-01-23 15:20:00	4128.4	4157.4	4126.3	4154.1	1530720
2023-01-24 08:00:00	4163.1	4166.4	4136.4	4141.3	1604520
2023-01-24 11:40:00	4140.4	4146.4	4131.3	4137.4	1036800
2023-01-24 15:20:00	4138.4	4158.1	4130.4	4154.1	1854720
2023-01-25 08:00:00	4149.1	4158.4	4115.4	4126.5	1513440
2023-01-25 11:40:00	4125.4	4137.5	4119.3	4124.4	1045440
2023-01-25 15:20:00	4125.3	4153.2	4121.5	4152.2	1867680
2023-01-26 08:00:00	4174.1	4178.4	4162.3	4170.5	1661760
2023-01-26 11:40:00	4169.9	4181.4	4159.3	4180.4	1555200
2023-01-26 15:20:00	4181.3	4182.4	4160.3	4171.0	2404800
2023-01-27 08:00:00	4178.0	4179.4	4159.3	4177.5	1395360
2023-01-27 11:40:00	4176.9	4187.5	4152.4	4158.4	1520640
2023-01-27 15:20:00	4159.4	4182.1	4158.3	4180.0	1941120
2023-01-30 08:00:00	4154.0	4156.4	4127.3	4137.5	2686320
2023-01-30 11:40:00	4138.3	4145.4	4119.3	4144.4	1147680
2023-01-30 15:20:00	4143.4	4165.4	4143.4	4152.1	1749600
2023-01-31 08:00:00	4140.0	4158.4	4130.3	4130.4	1932840
2023-01-31 11:40:00	4131.4	4161.4	4122.4	4149.4	1487520
2023-01-31 15:20:00	4148.4	4168.1	4146.3	4165.1	1841760
2023-02-01 08:00:00	4167.1	4185.5	4163.4	4167.3	1437120
2023-02-01 11:40:00	4166.4	4184.4	4162.4	4177.4	1238400
2023-02-01 15:20:00	4176.4	4186.5	4157.2	4158.2	1670400
2023-02-02 08:00:00	4194.1	4227.4	4191.3	4216.5	1882080
2023-02-02 11:40:00	4217.5	4244.5	4196.4	4235.3	3127680
2023-02-02 15:20:00	4234.4	4244.4	4214.3	4241.1	3173760
2023-02-03 08:00:00	4232.1	4233.2	4208.3	4221.3	1599480
2023-02-03 11:40:00	4222.5	4231.5	4204.3	4211.5	2862720
2023-02-03 15:20:00	4212.4	4258.1	4208.3	4241.0	3454560
2023-02-06 08:00:00	4218.1	4226.5	4188.3	4190.4	1895400
2023-02-06 11:40:00	4189.3	4208.4	4184.4	4200.3	1005120
2023-02-06 15:20:00	4199.9	4210.3	4186.3	4204.1	1969920
2023-02-07 08:00:00	4208.1	4217.5	4192.4	4213.3	1987560
2023-02-07 11:40:00	4212.3	4213.5	4193.4	4194.4	964800
2023-02-07 15:20:00	4195.3	4234.1	4190.3	4228.1	2377440
2023-02-08 08:00:00	4240.2	4241.4	4216.3	4235.5	1733400
2023-02-08 11:40:00	4236.4	4239.4	4220.3	4221.3	936000
2023-02-08 15:20:00	4221.9	4233.4	4201.0	4214.1	2419200
2023-02-09 08:00:00	4231.0	4272.5	4231.0	4271.4	2330640
2023-02-09 11:40:00	4270.4	4274.5	4252.3	4254.3	1203840
2023-02-09 15:20:00	4253.3	4261.4	4238.1	4246.0	2139840
2023-02-10 08:00:00	4220.5	4234.4	4196.3	4200.4	3157200
2023-02-10 11:40:00	4201.4	4204.5	4170.3	4197.3	2412000
2023-02-10 15:20:00	4198.4	4200.4	4182.3	4200.1	3372480
2023-02-13 08:00:00	4193.1	4223.4	4191.1	4216.4	1587240
2023-02-13 11:40:00	4217.0	4230.5	4215.3	4227.4	665280
2023-02-13 15:20:00	4228.3	4248.2	4224.3	4247.0	1416960
2023-02-14 08:00:00	4241.1	4261.5	4240.1	4256.4	1421640
2023-02-14 11:40:00	4256.8	4279.5	4234.3	4239.4	3689280
2023-02-14 15:20:00	4240.4	4273.5	4231.3	4250.1	3839040
2023-02-15 08:00:00	4236.0	4270.5	4231.4	4261.4	2093760
2023-02-15 11:40:00	4260.9	4279.4	4258.3	4263.3	1974240
2023-02-15 15:20:00	4262.9	4288.2	4259.3	4284.1	2810880
2023-02-16 08:00:00	4297.5	4314.5	4293.4	4308.3	1542240
2023-02-16 11:40:00	4307.9	4312.4	4268.3	4270.4	1939680
2023-02-16 15:20:00	4271.4	4306.1	4266.3	4302.1	2615040
2023-02-17 08:00:00	4265.2	4270.2	4230.3	4258.4	2424600
2023-02-17 11:40:00	4257.3	4269.4	4243.4	4269.4	1910880
2023-02-17 15:20:00	4268.5	4288.4	4264.3	4275.1	2082240
2023-02-20 08:00:00	4290.0	4290.0	4260.3	4277.4	1483200
2023-02-20 11:40:00	4276.4	4278.4	4268.3	4274.4	663840
